Speaker,Gender,Profession,Personality,Age（少年、青年、中年、老年）
白展堂,男,盗贼,性子爽朗，明白事理，有责任心，武功高强,中年
孟烦了,男,军人,本质善良，内心柔软，刀子嘴豆腐心,青年
江德福,男,军人,不争馒头争口气，蛮劲巧劲一起使,中年
苏明玉,女,商人,叛逆、独立、坚韧，苏家有困难时仍出手相助,青年
和珅,男,大臣、商人,能力卓越，行事果断，,中年
安杰,女,职业性母亲,明事理，傲娇但有分寸的人,青年
关宏峰,男,警察,为人严肃，心思缜密，性格沉稳，工作严谨，正义感强，有着极为丰富的刑侦经验，,中年
方木,男,警察,心里承受力差，容易对被害人感同身受，,青年
樊胜美,女,商人,讲义气、好帮忙，更爱打肿脸充胖子，哪怕再艰难窘迫，也不愿意在别人面前露出疲态,青年
毛豆豆,女,护士,讲义气，有自己的主见,青年
苏明成,男,商人,习惯啃老的宠儿，缺乏责任感，遇事从来不从自己身上找原因。,中年
侯亮平,男,政府人员,为人公正、公平、正义，对待嫌疑犯方面有着独树一格的方法,中年
刘梅,女,护士,爱家，爱孩子们，关注孩子们的成长。能干、热心快肠、任劳任怨。有时有点急躁，有时有些唠叨。,中年
刘星,男,学生,本性真实善良，且是非分明，正义感强，颇有主见，好交朋友，热心快肠，懂得感恩，重情重义，朴实可爱。,青年
曾小贤,男,广播电台主持人,温柔体贴、搞笑、随和、锲而不舍、本性善良、喜欢助人为乐、努力上进，,青年
纪晓岚,男,政府官员,为人好学，但受环境影响，有局限性,中年
邰伟,男,警察,努力遏制事态恶化，有责任感，但被案件影响自己的心理,中年
福贵,男,农民,家道中落，人生多次面对打击，但最后仍然乐观面对世界,中年
刘备,男,帝王,弘毅宽厚，知人待士，百折不挠，,中年
苏大强,男,工人,个性压抑，懦弱，在苏家没有话语权，很孤单的一个老人，对家庭矛盾总是逃避，,老人
佟湘玉,女,商人,她从小娇生惯养锦衣玉食，有责任感，还全心全意去扶助身边的人们,青年
老高,男,军人,是一个经常被冤枉的人（很点背的），有纯真战友情、兄弟情。,中年
吕子乔,男,无业游民,他花心、胆小怕事，但也很讲义气，最后浪子回头，挑起了赚钱养家的担子，成为了一个好丈夫和好父亲,青年
周巡,男,警察,表面大大咧咧实则心思缜密,中年
苏明哲,男,商人,不惜以牺牲妻女的生活质量为代价，一味满足父亲不合理的需求，引发小家庭危机。,中年
余味,男,工人,对妻子温柔，孝敬家人父母,青年
夏东海,男,导演,一个集幽默风趣、宽容大度、聪明机智、富有爱心、正直憨厚于一身的男人形象，是一个具有儒雅风范的谦谦君子。,中年
胡一菲,女,教师,学历最高，但没有很明确的人生规划，敏感，但个性要强,青年
龙文章,男,军人,骄傲，对国家有一颗赤诚之心,中年
大周,男,军人,办事大大咧咧，热心助人。勤劳肯干，毫无怨言，每天骑着一辆小破三轮儿顶着风吹日晒去买菜。,中年
高育良,男,政府官员,最初的确是个公平正义的好官，历经风雨后被拖下犯罪深渊,中年
邱莹莹,女,工人,为了爱情委曲求全，为了工作拼尽全力。,青年
曲筱绡,女,商人,古灵精怪、肆意洒脱、率性犀利，看似玩世不恭实则真实善良,青年
丁元英,男,商人,思维层次高，不屑于跟人解释，说鬼话，办鬼事，倒行逆施,中年
帅胡,男,军人,能文能武，为人乐观幽默,青年
严良,男,警察,少时是个惹事生非的混世魔王，最后在父亲的领导下痛改前非报考警校，建立功劳,青年
朱朝阳,男,工人,智商高超，实际内心孤独，受父母离异影响，怨恨环境,青年
诸葛亮,男,政治家,智商高超，早年是名门望族，后随刘备征战，发挥自己的才智解决了很多困难,中年
关雎尔,女,实习生,家境良好的乖乖女，文静内向，气质温柔，为了完成目标，可以付出更多的努力,青年
黑藤规三,男,军人,喜欢书法并能努力练习，与领导有矛盾却能表面忍受,中年
贾贵,男,警察,贪财势利，贪生怕死，欺软怕硬,中年
胖洪,男,军人,"擅长冷静处理班里的大小事务,起着带头作用",中年
安迪,女,商人,外表冷淡不好接触，高智商高情商，强悍的工作能力下，知世故而不世故,青年
叶晓明,男,商人,自以为是的小聪明，而没有大智慧。,中年
安欣,女,工人,娴静温柔，有学问有涵养，端庄温柔美丽善良,青年
孙友福,男,商人,胆小怕事、安分守己的性格，有一定的圆滑，也有些爱贪小便宜，却也爱憎分明，心里对鬼子汉奸恨之入骨，默默地支持八路，盼望能够早些解放,中年
小毛,男,军人,勤劳肯干，毫无怨言，每天努力为连队养猪赚钱,青年
关宏宇,男,警察,性格活泼，喜欢调侃，身手矫健。因被当做杀人嫌犯通缉，白天只能生活在黑暗之中,青年
张飞,男,军人,武功高强，重情重义，虽然有时候会因鲁莽做错事,中年
欧阳雪,女,商人,钱财如粪土，仁义值千金。,青年
张东升,男,罪犯,外表忠厚老实，因为爱情来到妻子所在地工作，自己事业上没有什么成就，过得很是卑微,青年
陈老爷,男,商人,掌管整个家族，掌握一切话语权,老年
曹操,男,军人,又勇有谋，爱惜人才并能知人善用,中年
小姜,男,军人,爱吃，胆小，有点不聪明，心眼好,青年
徐老爷,男,商人,贪财爱子，但是再儿子欠下赌债时卖掉家产也要还债，是个守信用的人,老年
郭芙蓉,女,工人,从小争胜好胜，向往做一名女侠,青年
朱丽,女,商人,美丽温婉，虽娇生惯养，却也通情达理、明辨是非。,青年
蔡水根,男,军人,身手矫健，文武双全，精明强干，谦虚谨慎，干练隐忍，说话做事滴水不漏，出色的完成了很多任务,中年
芮小丹,女,军人,人格独立，也和常人体现出巨大的差异，她更敏感，而且更睿智和理性，,青年
关羽,男,军人,武功高强，对刘备极为忠义，即使被曹操感动，仍心系刘备,中年
夏雨,男,学生,活泼可爱，贪吃贪玩，由于身材有些肥胖，体育课成绩不理想，不时会逃避体育课，继刘星之后潜在的麻烦制造者。,幼年
毛母,女,商人,善良，慈爱,中年
关谷神奇,男,漫画家,勤奋努力、有上进心、有绅士风度、生活习惯好、想象力丰富、大男子主义、有时会表现出病态心理，压抑时爱去超市捏若干包方便面、饼干、薯片、桔子且不付钱、工作御宅、自尊心强,青年
曹新梅,女,工人,疑心重，难相处。爱钻牛角尖，得理不让人。她生活在社会的底层，狠节约，狠斤斤计较过日子。,老年
吕轻侯,男,工人,前朝知府大人的孙儿，三岁识千字，五岁背唐诗，七岁熟读四书五经，八岁精通诗词歌赋，却不会背乘法口诀。后因屡试不中，二十五岁穷困潦倒，卖了祖产尚儒客栈，在同福客栈打工。,青年
李大嘴,男,工人,心地善良，为人老实，憨厚，有些鲁莽和冲动，胆小，很孝顺，有义气，说话不走脑子，贪吃，而且吃的最多，小气（因为缺钱），晕血，在以前曾经当捕头为人不咋地，是同福客栈中做菜第二好的厨子,青年
张伟,男,律师,孤儿院出身，因此对钱财十分敏感，表现为生活中极度抠门，但本性善良、正义、重情重义，愿意为朋友付出。,青年
白三娘,女,商人,白翠萍对亲人如春天般温暖，对敌人如冬天般冷酷无情，多疑，冷静，外号“拼命三娘”，讨厌被别人威胁，逼急了会亲自动手解决，表面为飞贼，实为钩子（六扇门密使）。,青年
夏雪,女,学生,青春亮丽，健康活力，是个埋头读书成绩优异的好学生，很少惹麻烦，可一旦惹起麻烦来却让人倍加头疼。,青年
朱永平,男,工人,爱孩子但羞于表达，第一次当爸爸没什么经验，不像妈妈一样细心，忽视了对孩子的教育。,中年
周舒桐,女,警察,警校刚毕业入选津港市长丰区刑侦支队的小警察，富有正义感,青年
虞师座,男,军人,关心手下士兵，刀子嘴豆腐心。,中年
唐悠悠,女,演员,百变戏痴，性格耿直，大嘴巴、喜好刺探秘密并很快暴露，爱演戏。,青年
李达康,男,政府官员,耿直、纯真、一心为了工作，是一个正义无私的人民高官,中年
刘冰,男,商人,为了生活辛苦奔波，但是因为眼界低却又不甘且贪婪，做错了选择，导致自杀,中年
祁同伟,男,政府官员,对外恭敬谦虚，内心却狂妄傲慢，一心想要登上副省长职位继续往上攀的他，变得越来越浮躁莽撞，不听恩师高育良的再三劝阻、一意孤行，反而露出更多破绽，最后举枪自杀。,中年
陆亦可,女,政府官员,冷峻严肃与嫌疑人相对而坐，虽不露声色却仿佛势不可挡，平添一份隐忍内敛。,中年
陈家珍,女,农民,由一个娇滴滴的“小姐”了，她成了一棵树，一颗保护孩子，保护家庭的郁郁葱葱的大树，把孩子作为生活支柱,青年
燕小六,男,捕头,头脑简单，但是心肠热，对师父十分尊重，对镇上的百姓也照顾，,青年
普普,女,学生,是一个长相姣好的小女孩，同时也是心思深沉，想治好自己的亲弟弟，因为治疗弟弟的病需要30万，从福利院跑出来筹钱。,幼年
陈美嘉,女,医生,古灵精怪，活泼可爱的宅女，数学很差，,青年
赵美兰,女,工人,她是重男轻女的牺牲品，又把自己所遭遇的痛苦循环相传，冷酷苛待女儿，为人强势,老年
龙二,男,黑龙会会长,狠劲和硬气，懂进退、知利害，同时还有生意人的狡猾,青年
陈冠声,男,警察,热心负责正直，跳广场舞，由于年轻的时候逮捕了严良的父亲，小孩没有父亲的教导，他一直都心怀愧疚，对严良很关心。,中年
胡一统,男,商人,为人胆小，憨厚，幽默，热心，有些唠叨，也好逞强，爱面子，有时会好心办坏事弄出些笑话，有些小性子，不时还会见义勇为。,中年
季昌明,男,政府官员,清廉负责的省检察院检察长，为人正直，性格温和，但谨小慎微，事无巨细，极度拘泥于教条。,中年
沙瑞金,男,政府官员,为人正义凛然、稳重冷静，在用人方面表现得很谨慎但又不失敏锐的眼光；喜欢亲自暗中走访深入视察来了解更多事实真相,中年
肖亚文,女,商人,重情重义、能把握机会、懂得进退,青年
秦素素,女,工人,重情重义，能够为朋友两肋插刀，并且有责任感。,青年
周春红,女,工人,被生活的琐碎与艰辛磨平了耐心，包括对儿子也没有耐心。,中年
迷龙,男,军人,粗犷、豪爽、带点儿匪气，对兄弟却实诚地能把心和命都交给你。他是活得最轻松的一个，因为他简单，他不会有那么多的思虑，不会瞻前顾后，想到了就马上去做。,青年
徐庶,男,谋士,为人勤奋好学，精通儒家经义学问，为救母亲，冒生命危险亲自去曹营,中年
丛校长,男,政府人员,满口山东话，为人正直、热心，阶级觉悟很高，但又不失人情味儿。,中年
王瑶,女,工人,性格傲慢，朱晶晶出事之后，难以接受事实，认为是朱朝阳和周春红杀害了自己的女儿，多次找朱朝阳和周春红的麻烦。,中年
刑志森,男,政府官员,勤奋努力，运气不好，在分别刚上任队长和局长时，都发生了一起连环杀人案。,中年
柳青,男,商人,风流倜傥，机敏活络，与苏明玉同为蒙志远的得力干将。做事认真负责，对朋友也很讲义气，,中年
谭宗明,男,商人,圆滑世故，烟火味中又透着几分豪爽，是典型的生意人。与安迪多年同学，对她有过好感，却没有承担她人生的勇气，后成为知己好友。游戏人间，烟酒女人一样不少，骨子里却自有一份仗义在。,中年
老四,男,土匪,狠辣，同情共产党，睿智,中年
黄金彪,男,军人,虽然是一个伪军，但从未抓过八路军战士,中年
姚静,女,经理,心气高，也特别会吵架，口无遮拦。,中年
秦羽墨,女,美容顾问,外形、内涵、眼界、品味俱佳，但是也有着都市女孩的通病—任性，自我。,青年
一班长,男,军人,幽默风趣，努力让同班人员变得更好，尽职尽责,中年
叶军,男,警察,工作认真负责，没太多的时间照顾女儿，所以心存内疚，对女儿的学习要求不是很严格，只希望女儿快乐。,中年
邢育森,男,捕头,蹭吃蹭喝，吃人嘴不软，拿人手不短，一个可悲又可喜的人,中年
毛峰,男,工人,没有责任感，被父母惯的任性妄为，游手好闲，对感情不专一,青年
吴非,女,商人,温和、贤惠的传统女性，面对丈夫的愚孝给自己的小家庭带来的伤害，吴非为了自己和女儿据理力争，对冥顽的苏明哲失望之极,中年
陆琳琅,女,丫鬟,温文尔雅，文静知书达礼,青年
杨书记,女,政府官员,为人热心正直，心系自己的老乡江德福，为他介绍对象,中年
赵馨诚,男,警察,为人正义率性，对朋友忠义热心,中年
魏长生,男,军人,贪生怕死，叛徒,青年
刘长永,男,警察,为了破案兢兢业业，是一个正直的警察，在长春破案中尽显身手。虽然因为离婚没有尽到父亲的责任，但生活中的细节体现了他对女儿周舒桐的爱护。,中年
满仓,男,商人,从小就比常人笨拙，永远跟不上两位兄长的脚步，却笨鸟先飞，长大后成了最聪明的商人。,中年
鲁肃,男,政府官员,体貌魁伟，性格豪爽，喜读书、好骑射。东汉末年，他眼见朝廷昏庸，官吏腐败，社会动荡，常召集乡里青少年练兵习武。他还仗义疏财，深得乡人敬慕。,中年
毛建华,男,工人,对孩子宽容，不善于表达，用自己的方式去爱孩子,老年
石青山,男,军人,善于化装侦查，有时装成货郎，有时装成老太太，有时装成大姑娘，有时装成老爷爷，什么身份都装过，有“百变金刚”之称，神出鬼没，枪法如神，身手矫健，令敌人闻风丧胆。?[1]??他做事滴水不漏，老练又深沉，且敢于当面戏弄日本特务头子，而对方却浑然不觉,中年
祝无双,女,捕头,一个苦苦寻觅爱情的人，美丽、完美却没有爱情光顾。,青年
荀彧,男,谋士,富有才华，能随机应变，眼光长远,中年
杨保禄,男,厨师,本性淳朴善良，知恩图报，与师兄孙友福感情深厚，情同手足,中年
赵德汉,男,政府官员,面对诱惑不能自拔的堕落，但当被抓时，又心系家人,中年
关宏宇 ,男,武警,性格活泼，喜欢调侃，身手矫健。因被当做杀人嫌犯通缉，白天只能生活在黑暗之中，夜幕降临。,中年
曹仁,男,军人,喜好弓马弋猎，武艺高超，但刚愎自用不听蒋济所劝，惨败于吴将朱桓。,中年
林华华,女,政府官员,精干、阳光、大气、正能量。,青年
蔡成功,男,商人,一个充满矛盾的角色，一方面他为了招标成功而非法抵押股份、贿赂政府官员，煽动服装厂员工武力护厂另一方面，他又真心对待朋友、真心为服装厂员工谋福利，身陷囹圄时仍为员工的股份和重伤员的安置费而担心。,中年
吴老师,女,教师,面容慈祥，贤妻良母，城府深,老年
蒙总,男,商人,人中龙凤，马中良驹，既有头脑又有城府，是不可多得的商界精英。识人用人上确有一套，他善于发现人才，又善于培养人才。,中年
高亚楠,女,医生,集美貌智慧于一身的奇女子，她对待工作认真严谨，一丝不苟，为人处事机智灵活，不卑不亢,青年
文若明,男,教师,忠贞爱国，口才过人,老年
林译,男,军人,着急时会结巴，遇到异性时脸红，说话突然失声，浓重的上海味国语，坚持，爱国,中年
欧阳菁,女,政府官员,拒绝成熟，拒绝长大，贪污受贿,中年
崔虎,男,黑客,顶级黑客，监控狂,青年
小石头,男,共产党员,聪明机智，忠贞爱国，机灵,少年
陈岩石,男,政府官员,两袖清风，一心为民，深受爱戴,老年
石天冬,男,餐厅老板,出身富贵却向往自由的小饭馆老板，温和淡定,青年
王允,男,大臣,自小意气非凡，立志长大后不仅要继承和发扬父辈的传统，而且还要心忧国家，有益于东汉社会，文韬武略无不精通,老年
潘掌柜,女,掌柜,心思缜密,青年
余好,女,无业,"有点变态。对嫂子毛豆豆看不惯,挑剔,斤斤计较",青年
大壮,男,工人,爱冲动，小肚鸡肠,青年
张景林,男,工人,不讲义气,中年
连长,男,军人、连长,性格直爽，指导有方,青年
小米,男,乞丐,年轻有为，有原则，得理不让人，爱占小便宜,青年
上官戒慈,女,妻子、炮灰团的嫂子,大家闺秀，知书达理，虽然生逢乱世，仍保持着内心的冷静和平和。,中年
孙权,男,皇帝,头脑冷静、深谋远虑而又雄心勃勃,中年
余洪水,男,画家,以艺术家自居，自我感觉良好，处理家庭问题很无奈，习惯性回避,中年
陈小醉,女,妓女,单纯，纯粹,青年
郑西坡,男,汉东省京州大风集团工会主席,他一身正气、两袖清风，为了保住工友们赖以生存的大风厂，与贪官污吏斗智斗勇，拿起法律武器努力维护自己的权益；生活中，他对家人关爱有加，充满温情，喜欢写诗。过的是寻常百姓的日子，说的是人民群众的话。,中年
孙策,男,讨逆将军,"性格暴躁,果断,智勇双全",青年
关母,女,家庭妇女,知识分子，希望女儿找一个门当户对的丈夫，得知关雎尔与摇滚歌手在一起后，她强力阻住。,中年
管家,男,仆人,见风使舵、细心,中年
展堂,男,锦衣卫,机智，心思缜密,中年
莫小贝,女,儿童,江湖传闻是个女魔头，实际上只是个爱逃学并且只想吃糖葫芦的小丫头片子，小大人一个。,10岁（少年）
包大仁,男,政府官员,好色，胆小,中年
赵东来,男,局长,充满正义，整治恶势力，惩恶扬善，也不失幽默风趣，但关键时候总能展现出一位正直的公安局长的风采。,中年
安泰,男,工人,中大小琐事均由他做主，也为妹妹安杰、安欣操心受累。,中年
程度,男,公安厅办公室副主任,官职小、坏到彻底的人,中年
韩彬,男,律师,拥有超高的智商，发现了关宏峰关宏宇身份秘密之后，暗中帮助他们，目的不明，是个亦正亦邪的神秘人物。,中年
丁大哥,男,军人,在生活中爽朗爱开玩笑，也喜欢捉弄人，风趣幽默。把自己的不如意，常常埋在心底，不为外人道也,中年
叶驰敏,女,学生,敢说敢做，充满朝气，虽然可能脾气不大好，但却透着一份率真的可爱,青年
刘琦,男,荆州刺史,性子温和，并不是难以控制的枭雄人物,中年
冯老板,男,中共党员、驴贩,坚强勇敢、爱国,中年
白翻译官,男,翻译官,他原为日军的翻译官，后改过自新，成为打入敌人内部的情报员,中年
徐静,女,家庭妇女,功利，自私，无法在张东升身体不行且事业无成的情况下坚守婚姻,中年
赵茜,女,女警,有野心，向往外勤,青年
刘音,女,老板年,刘音性感外表下内心非常正义，敢爱敢恨的性格也颇有吸引力，是两兄弟在破案过程中不能缺少的伙伴,中年
高小琴,女,董事长,场女强人，身世复杂、经历曲折的传奇女子、见风使舵、坚忍不拔,中年
孙普,男,图书馆老师,骄傲偏执，因妒忌方木而成为变态杀人犯,中年
邓琳玥,女,拉拉队长,性格好，单纯善良,青年
小张,女,护士,爱岗敬业、爱美、善良温柔,青年
老六,男,汉奸,欺软怕硬、为非作歹、见风使舵,青年
董卓,男,相国、太师,"凶狠残暴，好色，飞扬跋扈，心胸狭隘,性情暴躁",老年
李典,男,将领,只是一个有个性，武勇合格，作战风格成熟稳重，能提出有效意见的军官。,中年
周瑜,男,都督、偏将军、南郡太守,周瑜首先是一个足智多谋、才智过人的统帅，但是他性格中也有着嫉贤妒能、气量狭小的致命弱点，同时周瑜也是个忠心不二，在一定程度上能举贤任能的人。,中年
王柏川,男,小老板,虽然没有出众的才华，但他踏实肯干，卖力打拼，负责任，有虚荣的一面，也有比别人多的诚意与坚持,青年
任迪,女,酒吧歌手,任迪作，有些仇富，还有些无理取闹。,青年
小姚,女,护士,业务熟练、野蛮、善良,青年
杏枝,女,退休教师,温柔、怕事,中年
毛娅,女,家庭妇女,数十年如一日的支持者其丈夫易学习，平日里以种茶为主,40-50岁
张桂英,女,农村妇女,张贵英吃苦耐劳勤快能干，是居家过日子的一把好手,中年
江德华,女,农村妇女，军官太太,她嗓门大，泼辣蛮横，不讲卫生，但她从来不诉苦,中年
许褚,男,将军,对曹操忠心耿耿，武艺高强，战场上令敌人望而生畏。名扬天下，性情憨直，寡言少语。一心做好自己的本职工作。比较低调,中年
陆展博,男,程序员,单纯善良，智商和情商成反比的天才少年，经常与“变形金刚”和众多高等知识学打交道，不擅言谈，在女孩面前十分腼腆羞涩。,青年
杨保德,男,药店店员,爱国，胆小怕事，容易相信人,青年
陈海,男,反贪局局长,裁决果断、不畏强权、重情重义,中年
朱晶晶,女,小学生,朱晶晶是朱朝阳的妹妹，同父异母的妹妹，她有些骄纵，会跟同父异母的哥哥争宠,少儿
阿桂,男,军人,名将、勇敢、善于治人,中年
水镜先生,男,隐士,清高拔俗，学识广博，有知人论世、鉴别人才的能力，受到世人的敬重,老年
